2, 386.3263631380338 
3, 738.0591939243427 
4, 1062.3346116905766 
5, 1364.9997052625863 
6, 1650.9053595373368 
7, 1924.1203995373369 
8, 2188.0911284691083 
9, 2445.7621581871413 
10, 2699.6692801383606 
11, 2952.0117970062624 
12, 3204.864573913479 
13, 3459.753168023369 
14, 3718.1670587942244 
15, 3981.427705135688 
16, 4250.712900982897 
17, 4527.076872098209 
18, 4811.466977522866 
19, 5104.737681551134 
20, 5407.662314570809 
21, 5720.943029794689 
22, 6045.219278097184 
23, 6381.213336901405 
24, 6729.322419590352 
25, 7090.037605404907 
26, 7463.810772006848 
27, 7851.058659810701 
28, 8252.166422897079 
29, 8667.490742417558 
30, 9097.362565621977 
31, 9542.089523260822 
32, 10001.958069642216 
33, 10477.235382670407 
34, 10968.321985375034 
35, 11475.301836796973 
36, 11998.393736433336 
37, 12537.802968620315 
