2, 386.3263631380338 
3, 351.73283078630897 
4, 324.27541776623383 
5, 302.6650935720098 
6, 285.9056542747505 
7, 273.21504 
8, 263.9707289317712 
9, 257.6710297180328 
10, 253.90712195121955 
11, 252.34251686790196 
12, 252.85277690721654 
13, 254.88859410989016 
14, 258.4138907708554 
15, 263.2606463414634 
16, 269.2851958472086 
17, 276.3639711153119 
18, 284.3901054246575 
19, 293.2707040282686 
20, 302.92463301967496 
21, 313.28071522388063 
22, 324.27624830249397 
23, 335.9940588042205 
24, 348.109082688948 
25, 360.71518581455484 
26, 373.77316660194174 
27, 387.2478878038529 
28, 401.10776308637764 
29, 415.32431952047955 
30, 429.87182320441985 
31, 444.7269576388448 
32, 459.8685463813954 
33, 475.2773130281904 
34, 491.0866027046264 
35, 506.9798514219384 
36, 523.0918996363636 
37, 539.4092321869784 
